Nom,Marque,Prix,Description,Url,Url_image
SmartphoneAPPLEiPhone 8 64Go Silver Reconditionné,APPLE,"165,00€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1192378#b86d156d-8da2-4acd-b350-c2b9c059bb6e,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/3663705116734_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64Go Silver Reconditionné,APPLE,"165,00€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1192378#b86d156d-8da2-4acd-b350-c2b9c059bb6e,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/3663705116734_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Rouge Reconditionné,APPLE,"149,99€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1154965#a4b49484-cbe0-4d38-9e96-7144d578ac6c,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7111308220380_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Rouge Reconditionné,APPLE,"149,99€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1154965#a4b49484-cbe0-4d38-9e96-7144d578ac6c,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7111308220380_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Or Reconditionné,APPLE,"129,99€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1131660#6c7f993d-2c89-4005-a16c-fdfa457a2662,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7110936702008_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Or Reconditionné,APPLE,"129,99€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1131660#6c7f993d-2c89-4005-a16c-fdfa457a2662,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7110936702008_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Or Reconditionné,APPLE,"129,99€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1131660#6c7f993d-2c89-4005-a16c-fdfa457a2662,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7110936702008_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Gris sidéral Reconditionné,APPLE,"160,00€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1131743#89c3f0f9-5179-4d58-92f0-e8e5b3ec72a6,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7110935075493_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 64GB Gris sidéral Reconditionné,APPLE,"160,00€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoCapteurs photos : 1 (12 MP en capteur principal)Mémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11Le + :Compatible charge sans fil",/ref/1131743#89c3f0f9-5179-4d58-92f0-e8e5b3ec72a6,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/7110935075493_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneAPPLEiPhone 8 Gris 64 Go Reconditionné,APPLE,"159,00€","Ecran : compact 4,7"" soit 11,9 cmMémoire interne : 64 GoMémoire RAM : 2 Go -
              
            
              
              Processeur : Puce A11",/ref/1111666#e59ac3da-01a6-4fcf-a3e3-00bda324f5f3,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/3663262044556_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
